CPU,Cores,Clock,Process,L3 Cache,TDP
Ryzen 9 6980HS,8  / 16,3.3 to 5 GHz,6 nm,16MB,45 W
Ryzen 9 6980HX,8  / 16,3.3 to 5 GHz,6 nm,16MB,45 W
Ryzen 9 7900X,12  / 24,4.7 to 5.6 GHz,5 nm,64MB,170 W
Ryzen 9 7950X,16  / 32,4.5 to 5.7 GHz,5 nm,64MB,170 W
Ryzen 9 PRO 6950H,8  / 16,3.3 to 4.9 GHz,6 nm,16MB,45 W
Ryzen 9 PRO 6950HS,8  / 16,3.3 to 4.9 GHz,6 nm,16MB,35 W
Ryzen Threadripper 5990X,64  / 128,2.5 to 4.45 GHz,7 nm,256MB,280 W
Ryzen Threadripper PRO 5945WX,12  / 24,4.1 to 4.5 GHz,7 nm,64MB,280 W
Ryzen Threadripper PRO 5955WX,16  / 32,4 to 4.5 GHz,7 nm,64MB,280 W
Ryzen Threadripper PRO 5965WX,24  / 48,3.8 to 4.5 GHz,7 nm,128MB,280 W
Ryzen Threadripper PRO 5975WX,32  / 64,3.6 to 4.5 GHz,7 nm,128MB,280 W
Ryzen Threadripper PRO 5995WX,64  / 128,2.7 to 4.5 GHz,7 nm,256MB,280 W
Centaur CHA,8 ,1.2 to 2.5 GHz,16 nm,16MB,70 W
Nano L2100,1 ,1800 MHz,65 nm,N/A,25 W
Nano L2200,1 ,1600 MHz,65 nm,N/A,17 W
Nano QuadCore C4650,4 ,1.333 to 2 GHz,28 nm,N/A,18 W
Nano QuadCore C4650 ES,4 ,2000 MHz,28 nm,N/A,18 W
Nano QuadCore C4700,4 ,1.333 to 2 GHz,28 nm,N/A,35 W
Nano QuadCore L4700,4 ,1200 to 1466 MHz,40 nm,N/A,28 W
Nano QuadCore L4800,4 ,1466 to 1600 MHz,40 nm,N/A,28 W
Nano U2225,1 ,1300 MHz,65 nm,N/A,10 W
Nano U2250,1 ,1300 to 1600 MHz,65 nm,N/A,10 W
Nano U2300,1 ,1000 MHz,65 nm,N/A,5 W
Nano U2350,1 ,1300 MHz,65 nm,N/A,8 W
Nano U2400,1 ,1300 to 1400 MHz,65 nm,N/A,8 W
Nano U2500,1 ,1200 MHz,65 nm,N/A,7 W
Nano X2 U4300,2 ,1200 to 1467 MHz,40 nm,N/A,13 W
Celeron G4900,2 ,3.1 GHz,14 nm,6MB,51 W
Celeron G4920,2 ,3.2 GHz,14 nm,6MB,51 W
Core i3-8000,4 ,3.6 GHz,14 nm,6MB,65 W
Core i3-8020,4 ,3.7 GHz,14 nm,6MB,65 W
Core i3-8100T,4 ,3.1 GHz,14 nm,6MB,35 W
Core i3-8109U,2  / 4,3 to 3.6 GHz,14 nm,4MB,28 W
Core i3-8120,4 ,3.7 GHz,14 nm,6MB,65 W
Core i3-8121U,2  / 4,2.2 GHz,10 nm,4MB,28 W
Core i3-8130U,2  / 4,2.4 to 3.4 GHz,14 nm,4MB,15 W
Core i3-8145U,2  / 4,2.1 to 3.9 GHz,10 nm,4MB,28 W
Core i3-8300,4 ,3.7 GHz,14 nm,8MB,62 W
Core i3-8300T,4 ,3.2 GHz,14 nm,8MB,35 W
Core i3-9000,4 ,3.7 GHz,14 nm,6MB,65 W
Core i3-9100,4 ,3.7 GHz,14 nm,6MB,65 W
Core i5-8259U,4  / 8,2.3 to 3.8 GHz,14 nm,6MB,28 W
Core i5-8265U,4  / 8,1.6 to 4.1 GHz,14 nm,6MB,28 W
Core i5-8269U,4  / 8,2.6 to 4.2 GHz,14 nm,6MB,28 W
Core i5-8300H,4  / 8,2.3 to 3.9 GHz,14 nm,12MB,45 W
Core i5-8305G,4  / 8,2.8 to 3.8 GHz,14 nm,6MB,65 W
Core i5-8400H,4  / 8,2.5 to 4.1 GHz,14 nm,12MB,45 W
Core i5-8400T,6 ,1.7 to 3.3 GHz,14 nm,9MB,35 W
Core i5-8420,6 ,2.9 to 4.1 GHz,14 nm,9MB,65 W
Core i5-8420T,6 ,1.8 to 3.4 GHz,14 nm,9MB,35 W
Core i5-8500,6 ,3 to 4.1 GHz,14 nm,9MB,65 W
Core i5-8500B,6 ,3 to 4.1 GHz,14 nm,9MB,65 W
Core i5-8500T,6 ,2.1 to 3.5 GHz,14 nm,9MB,35 W
Core i5-8550,6 ,3 to 4.3 GHz,14 nm,9MB,65 W
Core i5-8600,6 ,3.1 to 4.3 GHz,14 nm,9MB,65 W
Core i5-8600T,6 ,2.3 to 3.7 GHz,14 nm,9MB,35 W
Core i5-8650,6 ,3.1 to 4.5 GHz,14 nm,9MB,65 W
Core i5-8650K,6 ,3.7 to 4.5 GHz,14 nm,9MB,95 W
Core i5-9400,6 ,2.9 to 4.1 GHz,14 nm,9MB,65 W
Core i5-9400T,6 ,1.8 to 3.4 GHz,14 nm,9MB,35 W
Core i5-9500,6 ,3 to 4.3 GHz,14 nm,9MB,65 W
Core i5-9600,6 ,3.1 to 4.5 GHz,14 nm,9MB,65 W
Core i5-9600K,6 ,3.7 to 4.6 GHz,14 nm,9MB,95 W
Core i7-8086K,6  / 12,4 to 5 GHz,14 nm,12MB,95 W
Core i7-8559U,4  / 8,2.7 to 4.5 GHz,14 nm,8MB,28 W
Core i7-8565U,4  / 8,1.8 to 4.6 GHz,14 nm,8MB,28 W
Core i7-8670,6  / 12,3.1 to 4.4 GHz,14 nm,12MB,65 W
Core i7-8670T,6  / 12,2.3 to 3.7 GHz,14 nm,12MB,35 W
Core i7-8700,6  / 12,3.2 to 4.6 GHz,14 nm,12MB,65 W
Core i7-8700B,6  / 12,3.2 to 4.6 GHz,14 nm,12MB,65 W
Core i7-8700T,6  / 12,2.4 to 4 GHz,14 nm,12MB,35 W
Core i7-8705G,4  / 8,3.1 to 4.1 GHz,14 nm,8MB,65 W
Core i7-8706G,4  / 8,3.1 to 4.1 GHz,14 nm,8MB,65 W
Core i7-8709G,4  / 8,3.1 to 4.1 GHz,14 nm,8MB,65 W
Core i7-8750H,6  / 12,2.2 to 4.1 GHz,14 nm,12MB,45 W
Core i7-8809G,4  / 8,3.1 to 4.2 GHz,14 nm,8MB,65 W
Core i7-8850H,6  / 12,2.7 to 4.3 GHz,14 nm,12MB,45 W
Core i7-9700K,8 ,3.6 to 4.9 GHz,14 nm,12MB,95 W
Core i7-9800X,8  / 16,3.8 to 4.4 GHz,14 nm,16.5MB,165 W
Core i9-8950HK,6  / 12,2.9 to 4.7 GHz,14 nm,12MB,95 W
Core i9-9820X,10  / 20,3.3 to 4.2 GHz,14 nm,16.5MB,165 W
Core i9-9900K,8  / 16,3.6 to 5 GHz,14 nm,16MB,95 W
Core i9-9900X,10  / 20,3.5 to 4.5 GHz,14 nm,19.25MB,165 W
Core i9-9920X,12  / 24,3.5 to 4.5 GHz,14 nm,19.25MB,165 W
Core i9-9940X,14  / 28,3.3 to 4.5 GHz,14 nm,19.25MB,165 W
Core i9-9960X,16  / 32,3.1 to 4.5 GHz,14 nm,22MB,165 W
Core i9-9980XE,18  / 36,3 to 4.5 GHz,14 nm,24.75MB,165 W
Core i9-9990XE,14  / 28,4 to 5.1 GHz,14 nm,19.25MB,255 W
Core m3-8114Y,2  / 4,1500 MHz,10 nm,4MB,28 W
Pentium Gold G5400,2  / 4,3.7 GHz,14 nm,4MB,51 W
Pentium Gold G5500,2  / 4,3.8 GHz,14 nm,4MB,51 W
Pentium Gold G5600,2  / 4,3.9 GHz,14 nm,4MB,51 W
Xeon E-2124,4 ,3.4 to 4.5 GHz,14 nm,8MB,72 W
Xeon E-2124G,4 ,3.4 to 4.5 GHz,14 nm,8MB,72 W
Xeon Platinum 8253,16  / 32,2.2 to 3 GHz,14 nm,22MB,125 W
Xeon Platinum 8256,4  / 8,3.8 to 3.9 GHz,14 nm,16.5MB,105 W
Xeon Platinum 8260,24  / 48,2.4 to 3.9 GHz,14 nm,35.75MB,165 W
Xeon Platinum 8260M,24  / 48,2.4 to 3.9 GHz,14 nm,35.75MB,165 W
Xeon Platinum 8268,24  / 48,2.9 to 3.9 GHz,14 nm,35.75MB,205 W
Xeon Platinum 8270,26  / 52,2.7 to 4 GHz,14 nm,35.75MB,205 W
Xeon Platinum 8276,28  / 56,2.2 to 4 GHz,14 nm,38.5MB,165 W
Xeon Platinum 8280,28  / 56,2.7 to 4 GHz,14 nm,38.5MB,205 W
Xeon Platinum 8280M,28  / 56,2.7 to 4 GHz,14 nm,38.5MB,205 W
Xeon W-3175X,28  / 56,3.1 to 4.3 GHz,14 nm,38.5MB,255 W
EPYC 72F3,8  / 16,3.7 to 4.1 GHz,7 nm,256MB,180 W
EPYC 7313,16  / 32,3 to 3.7 GHz,7 nm,128MB,155 W
EPYC 7313P,16  / 32,3 to 3.7 GHz,7 nm,128MB,155 W
EPYC 7343,16  / 32,3.2 to 3.9 GHz,7 nm,128MB,190 W
EPYC 73F3,16  / 32,3.5 to 4 GHz,7 nm,256MB,240 W
EPYC 7413,24  / 48,2.65 to 3.6 GHz,7 nm,128MB,180 W
EPYC 7443,24  / 48,2.85 to 4 GHz,7 nm,128MB,200 W
EPYC 7443P,24  / 48,2.85 to 4 GHz,7 nm,128MB,200 W
EPYC 7453,28  / 56,2.75 to 3.45 GHz,7 nm,64MB,225 W
EPYC 74F3,24  / 48,2.8 to 4 GHz,7 nm,256MB,240 W
EPYC 7513,32  / 64,2.6 to 3.65 GHz,7 nm,128MB,200 W
EPYC 7543,32  / 64,2.8 to 3.7 GHz,7 nm,256MB,225 W
EPYC 7543P,32  / 64,2.8 to 3.7 GHz,7 nm,256MB,225 W
EPYC 75F3,32  / 64,2.95 to 4 GHz,7 nm,256MB,280 W
EPYC 7643,48  / 96,2.3 to 3.6 GHz,7 nm,256MB,225 W
EPYC 7663,56  / 112,2 to 3.5 GHz,7 nm,256MB,240 W
EPYC 7713,64  / 128,2 to 3.675 GHz,7 nm,256MB,225 W
EPYC 7713P,64  / 128,2 to 3.675 GHz,7 nm,256MB,225 W
EPYC 7763,64  / 128,2.45 to 3.5 GHz,7 nm,256MB,280 W
Ryzen 3 5300G,4  / 8,4 to 4.2 GHz,7 nm,8MB,65 W
Ryzen 3 5300U,4  / 8,2.6 to 3.8 GHz,7 nm,4MB,15 W
Ryzen 3 5400U,4  / 8,2.6 to 4 GHz,7 nm,8MB,15 W
Ryzen 3 PRO 5350G,4  / 8,4 to 4.2 GHz,7 nm,8MB,65 W
Ryzen 3 PRO 5350GE,4  / 8,3.6 to 4.2 GHz,7 nm,8MB,35 W
Ryzen 3 PRO 5450U,4  / 8,2.6 to 4 GHz,7 nm,8MB,15 W
Ryzen 5 5500U,6  / 12,2.1 to 4 GHz,7 nm,8MB,15 W
ryzen 5 5600h,6  / 12,3.3 to 4.2 GHz,7 nm,16MB,45 W
Ryzen 5 5600G,6  / 12,3.9 to 4.4 GHz,7 nm,16MB,65 W
Ryzen 5 5600U,6  / 12,2.3 to 4.2 GHz,7 nm,16MB,15 W
Ryzen 5 PRO 5650G,6  / 12,3.9 to 4.4 GHz,7 nm,16MB,65 W
Ryzen 5 PRO 5650GE,6  / 12,3.4 to 4.4 GHz,7 nm,16MB,35 W
Ryzen 5 PRO 5650U,6  / 12,2.3 to 4.2 GHz,7 nm,16MB,15 W
Ryzen 7 5700G,8  / 16,3.8 to 4.6 GHz,7 nm,16MB,65 W
Ryzen 7 5700U,8  / 16,1.8 to 4.3 GHz,7 nm,8MB,15 W
Ryzen 7 5800,8  / 16,3.4 to 4.6 GHz,7 nm,32MB,65 W
Ryzen 7 5800G,8  / 16,3.8 to 4.8 GHz,7 nm,16MB,65 W
Ryzen 7 5800H,8  / 16,3.2 to 4.4 GHz,7 nm,16MB,45 W
Ryzen 7 5800HS,8  / 16,2.8 to 4.4 GHz,7 nm,16MB,35 W
Ryzen 7 5800U,8  / 16,1.9 to 4.4 GHz,7 nm,16MB,15 W
Ryzen 7 PRO 5750G,8  / 16,3.8 to 4.6 GHz,7 nm,16MB,65 W
Ryzen 7 PRO 5750GE,8  / 16,3.2 to 4.6 GHz,7 nm,16MB,35 W
Ryzen 7 PRO 5850U,8  / 16,1.9 to 4.4 GHz,7 nm,16MB,15 W
Ryzen 9 5900,12  / 24,3 to 4.7 GHz,7 nm,64MB,65 W
Ryzen 9 5900HX,8  / 16,3.3 to 4.6 GHz,7 nm,16MB,45 W
Ryzen 9 5980HS,8  / 16,3 to 4.8 GHz,7 nm,16MB,35 W
Ryzen Threadripper 3980X,48  / 96,3.5 to 4.7 GHz,7 nm,128MB,280 W
Core i3-1000G1,2  / 4,1.1 to 3.2 GHz,10 nm,4MB,9 W
Core i3-1000G4,2  / 4,1.1 to 3.2 GHz,10 nm,4MB,9 W
Core i3-1005G1,2  / 4,1.2 to 3.4 GHz,10 nm,4MB,15 W
Core i3-10110U,2  / 4,2.1 to 4.1 GHz,14 nm,4MB,25 W
Core i3-10110Y,2  / 4,1 to 4 GHz,14 nm,4MB,9 W
Core i3-9100F,4 ,3.6 to 4.2 GHz,14 nm,6MB,65 W
Core i3-9300,4 ,3.7 to 4.3 GHz,14 nm,8MB,62 W
Core i3-9320,4 ,3.7 to 4.4 GHz,14 nm,8MB,62 W
Core i3-9350K,4 ,4 to 4.6 GHz,14 nm,8MB,91 W
Core i3-9350KF,4 ,4 to 4.6 GHz,14 nm,8MB,91 W
Core i5-10210U,4  / 8,1.6 to 4.2 GHz,14 nm,6MB,25 W
Core i5-10210Y,4  / 8,1 to 4 GHz,14 nm,6MB,9 W
Core i5-1030G4,4  / 8,0.7 to 3.5 GHz,10 nm,6MB,9 W
Core i5-1030G7,4  / 8,0.8 to 3.5 GHz,10 nm,6MB,9 W
Core i5-10310Y,4  / 8,1.1 to 4.1 GHz,14 nm,6MB,9 W
Core i5-1035G1,4  / 8,1 to 3.6 GHz,10 nm,6MB,15 W
Core i5-1035G4,4  / 8,1.1 to 3.7 GHz,10 nm,6MB,15 W
Core i5-1035G7,4  / 8,1.2 to 3.7 GHz,10 nm,6MB,15 W
Core i5-9400F,6 ,2.9 to 4.1 GHz,14 nm,9MB,65 W
Core i5-9500F,6 ,3 to 4.4 GHz,14 nm,9MB,65 W
Core i5-9600KF,6 ,3.7 to 4.6 GHz,14 nm,9MB,95 W
Core i7-10510U,4  / 8,1.8 to 4.9 GHz,14 nm,8MB,25 W
Core i7-10510Y,4  / 8,1.2 to 4.5 GHz,14 nm,8MB,9 W
Core i7-1060G7,4  / 8,1 to 3.8 GHz,10 nm,8MB,9 W
Core i7-1065G7,4  / 8,1.3 to 3.9 GHz,10 nm,8MB,15 W
Core i7-1068NG7,4  / 8,2.3 to 4.1 GHz,10 nm,8MB,28 W
Core i7-10710U,6  / 12,1.1 to 4.7 GHz,14 nm,12MB,25 W
Core i7-9700,8 ,3 to 4.7 GHz,14 nm,12MB,65 W
Core i7-9700F,8 ,3 to 4.7 GHz,14 nm,12MB,65 W
Core i7-9700KF,8 ,3.6 to 4.9 GHz,14 nm,12MB,95 W
Core i7-9750H,6  / 12,2.6 to 4.5 GHz,14 nm,12MB,45 W
Core i7-9750HF,6  / 12,2.6 to 4.5 GHz,14 nm,12MB,45 W
Core i7-9850H,6  / 12,2.6 to 4.6 GHz,14 nm,12MB,45 W
Core i7-9850HE,6  / 12,2.7 to 4.4 GHz,14 nm,9MB,45 W
Core i7-9850HL,6  / 12,1.9 to 4.1 GHz,14 nm,9MB,25 W
Core i9-10900X,10  / 20,3.7 to 4.7 GHz,14 nm,19.25MB,165 W
Core i9-10920X,12  / 24,3.5 to 4.8 GHz,14 nm,19.25MB,165 W
Core i9-10940X,14  / 28,3.3 to 4.8 GHz,14 nm,19.25MB,165 W
Core i9-10980XE,18  / 36,3 to 4.8 GHz,14 nm,24.75MB,165 W
Core i9-9880H,8  / 16,2.3 to 4.8 GHz,14 nm,16MB,45 W
Core i9-9900,8  / 16,3.1 to 5 GHz,14 nm,16MB,65 W
Core i9-9900KF,8  / 16,3.6 to 5 GHz,14 nm,16MB,95 W
Core i9-9900KS,8  / 16,4 to 5 GHz,14 nm,16MB,127 W
Core i9-9980HK,8  / 16,2.4 to 5 GHz,14 nm,16MB,45 W
Pentium Gold G5620,2  / 4,4 GHz,14 nm,4MB,51 W
Xeon Platinum 9221,32  / 64,2.1 to 3.7 GHz,14 nm,71.5MB,250 W
Xeon Platinum 9222,32  / 64,2.3 to 3.7 GHz,14 nm,71.5MB,250 W
Xeon Platinum 9242,48  / 96,2.3 to 3.8 GHz,14 nm,71.5MB,350 W
Xeon Platinum 9282,56  / 112,2.6 to 3.8 GHz,14 nm,77MB,400 W
Atom Z3735G,4 ,1333 to 1833 MHz,22 nm,N/A,2 W
Atom x5-E3930,2 ,1300 to 1800 MHz,14 nm,N/A,7 W
Atom x5-E3940,4 ,1600 to 1800 MHz,14 nm,N/A,10 W
Atom x7-E3950,4 ,1.6 to 2 GHz,14 nm,N/A,12 W
Celeron G1840,2 ,2.8 GHz,22 nm,3MB,54 W
Celeron G1840T,2 ,2.5 GHz,22 nm,3MB,54 W
Celeron G1850,2 ,2.9 GHz,22 nm,3MB,54 W
Celeron N2808,2 ,1.58 to 2.25 GHz,22 nm,N/A,4 W
Celeron N2840,2 ,2.16 to 2.58 GHz,22 nm,N/A,7 W
Celeron N2940,4 ,1.83 to 2.25 GHz,22 nm,N/A,7 W
Core M-5Y10,2  / 4,0.8 to 2 GHz,14 nm,4MB,5 W
Core M-5Y10a,2  / 4,0.8 to 2 GHz,14 nm,4MB,5 W
Core M-5Y10c,2  / 4,0.8 to 2 GHz,14 nm,4MB,5 W
Core M-5Y31,2  / 4,0.9 to 2.4 GHz,14 nm,4MB,5 W
Core M-5Y51,2  / 4,1.1 to 2.6 GHz,14 nm,4MB,5 W
Core M-5Y70,2  / 4,1.1 to 2.6 GHz,14 nm,4MB,5 W
Core M-5Y71,2  / 4,1.2 to 2.9 GHz,14 nm,4MB,5 W
Core i3-4150T,2  / 4,2.9 GHz,22 nm,3MB,35 W
Core i3-4160,2  / 4,3.6 GHz,22 nm,3MB,54 W
Core i3-4160T,2  / 4,3.1 GHz,22 nm,3MB,35 W
Core i3-4350,2  / 4,3.6 GHz,22 nm,4MB,54 W
Core i3-4360,2  / 4,3.7 GHz,22 nm,4MB,54 W
Core i3-4360T,2  / 4,3.2 GHz,22 nm,4MB,35 W
Core i3-4370,2  / 4,3.8 GHz,22 nm,4MB,54 W
Core i3-4370,2  / 4,3.8 GHz,22 nm,4MB,54 W
Core i5-4210U,2  / 4,1.7 to 2.7 GHz,22 nm,3MB,15 W
Core i5-4590,4 ,3.3 to 3.7 GHz,22 nm,6MB,84 W
Core i5-4590S,4 ,2.9 to 3.6 GHz,22 nm,6MB,65 W
Core i5-4690,4 ,3.4 to 3.8 GHz,22 nm,6MB,84 W
Core i5-4690K,4 ,3.5 to 3.9 GHz,22 nm,6MB,88 W
Core i7-4710HQ,4  / 8,2.5 to 3.5 GHz,22 nm,6MB,47 W
Core i7-4712HQ,4  / 8,2.3 to 3.3 GHz,22 nm,6MB,37 W
Core i7-4770HQ,4  / 8,2.2 to 3.4 GHz,22 nm,6MB,47 W
Core i7-4790,4  / 8,3.6 to 4 GHz,22 nm,8MB,84 W
Core i7-4790K,4  / 8,4 to 4.4 GHz,22 nm,8MB,88 W
Core i7-4790S,4  / 8,3.2 to 4 GHz,22 nm,8MB,65 W
Core i7-4870HQ,4  / 8,2.5 to 3.7 GHz,22 nm,6MB,47 W
Core i7-5820K,6  / 12,3.3 to 3.6 GHz,22 nm,15MB,140 W
Core i7-5930K,6  / 12,3.5 to 3.7 GHz,22 nm,15MB,140 W
Core i7-5960X,8  / 16,3 to 3.5 GHz,22 nm,20MB,140 W
Pentium G3250,2 ,3.2 GHz,22 nm,3MB,54 W
Pentium G3250T,2 ,2.8 GHz,22 nm,3MB,35 W
Pentium G3258,2 ,3.2 GHz,22 nm,3MB,54 W
Pentium G3440,2 ,3.3 GHz,22 nm,3MB,54 W
Pentium G3450,2 ,3.3 GHz,22 nm,3MB,54 W
Pentium G3450T,2 ,2.9 GHz,22 nm,3MB,35 W
Pentium G3460,2 ,3.5 GHz,22 nm,3MB,54 W
Xeon E5-1603 V3,4 ,2.8 GHz,22 nm,10MB,140 W
Xeon E5-1607 V3,4 ,3.1 GHz,22 nm,10MB,140 W
Xeon E5-1620 V3,4  / 8,3.5 to 3.6 GHz,22 nm,10MB,140 W
Xeon E5-1630 V3,4  / 8,3.7 to 3.8 GHz,22 nm,10MB,140 W
Xeon E5-1650 V3,6  / 12,3.5 to 3.8 GHz,22 nm,15MB,140 W
Xeon E5-1660 V3,8  / 16,3 to 3.5 GHz,22 nm,20MB,140 W
Xeon E5-1680 V3,8  / 16,3.2 to 3.8 GHz,22 nm,20MB,140 W
Xeon E5-1681 V3,10  / 20,2.9 to 3.5 GHz,22 nm,25MB,135 W
Xeon E5-1686 V3,12  / 24,2.6 to 3.3 GHz,22 nm,30MB,135 W
Xeon E5-1691 V3,14  / 28,2.5 to 3.4 GHz,22 nm,35MB,135 W
Xeon E5-2603 V3,6 ,1600 MHz,22 nm,15MB,85 W
Xeon E5-2608L V3,6 ,2000 MHz,22 nm,15MB,52 W
Xeon E5-2609 V3,6 ,1900 MHz,22 nm,15MB,85 W
Xeon E5-2618L V3,8  / 16,2.3 to 3.4 GHz,22 nm,20MB,75 W
Xeon E5-2620 V3,6  / 12,2.4 to 3.2 GHz,22 nm,15MB,85 W
Xeon E5-2622 V3,8  / 16,2.4 to 3.4 GHz,22 nm,20MB,85 W
Xeon E5-2623 V3,4  / 8,3 to 3.5 GHz,22 nm,10MB,105 W
Xeon E5-2628 V3,8  / 16,2.5 to 3 GHz,22 nm,20MB,85 W
Xeon E5-2628L V3,10  / 20,2 to 2.5 GHz,22 nm,25MB,75 W
Xeon E5-2629 V3,8  / 16,2.4 to 3.2 GHz,22 nm,20MB,85 W
Xeon E5-2630 V3,8  / 16,2.4 to 3.2 GHz,22 nm,20MB,85 W
Xeon E5-2630L V3,8  / 16,1.8 to 2.9 GHz,22 nm,20MB,55 W
Xeon E5-2637 V3,4  / 8,3.5 to 3.7 GHz,22 nm,15MB,135 W
Xeon E5-2640 V3,8  / 16,2.6 to 3.4 GHz,22 nm,20MB,90 W
Xeon E5-2643 V3,6  / 12,3.4 to 3.7 GHz,22 nm,20MB,135 W
Xeon E5-2648L V3,12  / 24,1.8 to 2.5 GHz,22 nm,30MB,75 W
Xeon E5-2649 V3,10  / 20,2.3 to 3 GHz,22 nm,25MB,105 W
Xeon E5-2650 V3,10  / 20,2.3 to 3 GHz,22 nm,25MB,105 W
Xeon E5-2650L V3,12  / 24,1.8 to 2.5 GHz,22 nm,30MB,65 W
Xeon E5-2652 V3,10  / 20,2.3 to 2.8 GHz,22 nm,25MB,105 W
Xeon E5-2658 V3,12  / 24,2.2 to 2.9 GHz,22 nm,30MB,105 W
Xeon E5-2660 V3,10  / 20,2.6 to 3.3 GHz,22 nm,25MB,105 W
Xeon E5-2663 V3,10  / 20,2.8 to 3.5 GHz,22 nm,25MB,105 W
Xeon E5-2666 V3,10  / 20,2.9 to 3.5 GHz,22 nm,25MB,135 W
Xeon E5-2667 V3,8  / 16,3.2 to 3.6 GHz,22 nm,20MB,135 W
Xeon E5-2670 V3,12  / 24,2.3 to 3.1 GHz,22 nm,30MB,120 W
Xeon E5-2673 V3,12  / 24,2.4 to 3.1 GHz,22 nm,30MB,105 W
Xeon E5-2675 V3,16  / 32,1.8 to 2.3 GHz,22 nm,40MB,110 W
Xeon E5-2680 V3,12  / 24,2.5 to 3.3 GHz,22 nm,30MB,120 W
Xeon E5-2683 V3,14  / 28,2 to 3 GHz,22 nm,35MB,120 W
Xeon E5-2685 V3,12 ,2.6 to 3.3 GHz,22 nm,30MB,120 W
Xeon E5-2686 V3,18  / 36,2 to 3.5 GHz,22 nm,45MB,120 W
Xeon E5-2687W V3,10  / 20,3.1 to 3.5 GHz,22 nm,25MB,160 W
Xeon E5-2690 V3,12  / 24,2.6 to 3.5 GHz,22 nm,30MB,135 W
Xeon E5-2692 V3,12  / 24,3 to 3.6 GHz,22 nm,30MB,165 W
Xeon E5-2693 V3,12  / 24,2.8 to 3.4 GHz,22 nm,30MB,160 W
Xeon E5-2695 V3,14  / 28,2.3 to 3.3 GHz,22 nm,35MB,120 W
Xeon E5-2696 V3,18  / 36,2.3 to 3.8 GHz,22 nm,45MB,145 W
Xeon E5-2697 V3,14  / 28,2.6 to 3.6 GHz,22 nm,35MB,145 W
Xeon E5-2698 V3,16  / 32,2.3 to 3.6 GHz,22 nm,40MB,135 W
Xeon E5-2698A V3,16  / 32,2.8 to 3.2 GHz,22 nm,40MB,165 W
Xeon E5-2699 V3,18  / 36,2.3 to 3.6 GHz,22 nm,45MB,145 W
Xeon Phi 7120A,61  / 244,1238 to 1333 MHz,22 nm,N/A,300 W
Xeon Phi 7120D,61  / 244,1238 to 1333 MHz,22 nm,N/A,270 W
core i5-11300h,4  / 8,4.4 GHz,10 nm,8MB,32 W
core i7-11370h,4  / 8,4.8 GHz,10 nm,12MB,32 W
celeron n4020,2  / 2,1.1 to 2.8 GHz,14 nm,4MB,6 W
celeron n4500,2  / 2,1.1 to 2.8 GHz,10 nm,4MB,6 W
pentium silver n6000,4  / 4,1.1 to 3.3 GHz,10 nm,4MB,6 W
ryzen 9 5900hs,8  / 16,3.0 to 4.6 GHz,7 nm,16MB,35 W
apple m2,8,3.49 GHz,5 nm,8MB,18 W
celeron n5100,4  / 4,1.1 to 2.8 GHz,10 nm,4MB,6 W
pentium silver n5030,4  / 4,1.1 to 3.3 GHz,14 nm,4MB,6 W
celeron n4120,4  / 4,1.1 to 2.6 GHz,14 nm,4MB,6 W
core i5-1140g7,4  / 8,4.2 GHz,10 nm,8MB,15 W
3020e,2  / 2,1.2 to 2.6 GHz,14 nm,4MB,6 W
pentium gold 4415u,2  / 4,2.3 GHz,14 nm,2MB,15 W
ryzen 3 3350u,4  / 4,2.1 to 3.5 GHz,12 nm,4MB,15 W
core i5-10500h,6  / 12,2.5 to 4.5 GHz,14 nm,12MB,45 W
ryzen 5 3450u,4  / 8,2.1 to 3.5 GHz,12 nm,4MB,15 W
athlon gold 3150u,2  / 4,2.4 to 3.3 GHz,14 nm,4MB,15 W
ryzen 7 pro 6860z,8  / 16,2.7 to 4.75 GHz,6 nm,16MB,28 W
celeron 6305,2  / 2,1.8 GHz,10 nm,4MB,15 W
core i5-9300hf,4  / 8,2.4 to 4.1 GHz,14 nm,8MB,45 W
pentium gold 7505,2  / 4,2.0 GHz,10 nm,4MB,15 W
celeron n3060,2  / 2,1.6 to 2.48 GHz,14 nm,2MB,6 W
celeron n3350,2  / 2,1.1 to 2.4 GHz,14 nm,2MB,6 W
core i3-6006u,2  / 4,2.0 GHz,14 nm,3MB,15 W
core i7-3610qm,4  / 8,2.3 to 3.3 GHz,22 nm,6MB,45 W
pentium n4200,4  / 4,1.0 to 2.5 GHz,14 nm,2MB,6 W
core i7-2630qm,4  / 8,2.0 to 2.9 GHz,32 nm,6MB,45 W
core i7-7820hk,4  / 8,2.9 to 3.9 GHz,14 nm,8MB,45 W
core i5-9300h,4  / 8,2.4 to 4.1 GHz,14 nm,8MB,45 W
core i5-4200u,2  / 4,1.6 to 2.6 GHz,22 nm,3MB,15 W
core i3-6100u,2  / 4,2.3 GHz,14 nm,3MB,15 W
core i3-7020u,2  / 4,2.3 GHz,14 nm,3MB,15 W
core i7-6820hk,4  / 8,2.7 to 3.6 GHz,14 nm,8MB,45 W
core i7-7600u,2  / 4,2.8 to 3.9 GHz,14 nm,4MB,15 W
celeron n3050,2  / 2,1.6 to 2.16 GHz,14 nm,2MB,6 W
core i7-4700hq,4  / 8,2.4 to 3.4 GHz,22 nm,6MB,47 W
core i5-6300hq,4  / 4,2.3 to 3.2 GHz,14 nm,6MB,45 W
